name,population,population_rank,econsumption,econsumption_rank,fossil,fossil_rank,nuclear,nuclear_rank,hydroelectric,hydro_rank,other,other_rank,emissions,emissions_rank,gdp,gdp_rank,gdppc,gdppc_rank,lat,lon
China,1384688986.0,1,5564000000000.0,1,62.0,124,2.0,25,18.0,93,18.0,47,11670000000.0,1,23210000000000.0,1,16700.0,105,35.0,105.0
India,1296834042.0,2,1137000000000.0,3,71.0,104,2.0,26,12.0,111,16.0,53,2383000000.0,3,9474000000000.0,3,7200.0,156,20.0,77.0
United States,329256465.0,3,3902000000000.0,2,70.0,111,9.0,18,7.0,128,14.0,65,5242000000.0,2,19490000000000.0,2,59800.0,19,38.0,-97.0
Indonesia,262787403.0,4,213400000000.0,20,85.0,71,0.0,110,9.0,118,6.0,99,540700000.0,12,3250000000000.0,7,12400.0,127,-5.0,120.0
Brazil,208846892.0,5,509100000000.0,8,17.0,197,1.0,28,64.0,24,18.0,46,513800000.0,13,3248000000000.0,8,15600.0,108,-10.0,-55.0
Pakistan,207862518.0,6,92330000000.0,34,62.0,125,5.0,22,27.0,74,7.0,94,179500000.0,33,1061000000000.0,25,5400.0,171,30.0,70.0
Nigeria,203452505.0,7,24720000000.0,69,80.0,83,0.0,157,19.0,91,0.0,203,104000000.0,42,1121000000000.0,24,5900.0,166,10.0,8.0
Bangladesh,159453001.0,8,53650000000.0,48,97.0,32,0.0,45,2.0,136,2.0,134,79970000.0,48,690300000000.0,33,4200.0,176,24.0,90.0
Russia,142122776.0,9,909600000000.0,5,68.0,115,11.0,13,21.0,86,1.0,164,1847000000.0,4,4016000000000.0,6,27900.0,74,60.0,100.0
Japan,126168156.0,10,943700000000.0,4,71.0,105,1.0,30,8.0,121,20.0,38,1268000000.0,5,5443000000000.0,4,42900.0,42,36.0,138.0
Mexico,125959205.0,11,258700000000.0,14,71.0,106,2.0,27,17.0,96,9.0,82,454100000.0,14,2463000000000.0,11,19900.0,90,23.0,-102.0
Ethiopia,108386391.0,12,9062000000.0,100,3.0,207,0.0,88,86.0,11,11.0,76,12180000.0,99,200600000000.0,64,2200.0,204,8.0,38.0
Philippines,105893381.0,13,78300000000.0,37,67.0,116,0.0,165,17.0,97,16.0,54,117200000.0,38,877200000000.0,29,8400.0,148,13.0,122.0
Egypt,99413317.0,14,159700000000.0,23,91.0,54,0.0,82,6.0,129,2.0,139,232700000.0,30,1204000000000.0,21,12700.0,124,27.0,30.0
Vietnam,97040334.0,15,143200000000.0,25,56.0,140,0.0,209,43.0,47,1.0,171,235300000.0,29,648700000000.0,35,6900.0,159,16.1,107.5
CD,85281024.0,16,7430000000.0,106,2.0,210,0.0,0,98.0,4,0.0,182,3146000.0,145,68600000000.0,103,800.0,226,0.0,25.0
Iran,83024745.0,17,236300000000.0,17,84.0,75,1.0,29,15.0,103,0.0,193,638300000.0,10,1640000000000.0,18,20100.0,89,32.0,53.0
Turkey,81257239.0,18,231100000000.0,18,53.0,144,0.0,199,33.0,64,14.0,64,379500000.0,17,2186000000000.0,13,27000.0,77,39.0,35.0
Germany,80457737.0,19,536500000000.0,6,41.0,166,5.0,21,2.0,137,52.0,4,847600000.0,6,4199000000000.0,5,50800.0,27,51.0,9.0
Thailand,68615858.0,20,187700000000.0,22,76.0,94,0.0,193,8.0,124,16.0,55,355000000.0,19,1236000000000.0,20,17900.0,98,15.0,100.0
France,67364357.0,21,450800000000.0,10,17.0,198,50.0,1,15.0,102,19.0,42,341200000.0,22,2856000000000.0,10,44100.0,40,46.0,2.0
United Kingdom,65105246.0,22,309200000000.0,11,50.0,152,9.0,17,2.0,143,39.0,7,424000000.0,16,2925000000000.0,9,44300.0,39,54.0,-2.0
Italy,62246674.0,23,293500000000.0,13,54.0,143,0.0,114,14.0,106,32.0,14,351000000.0,20,2317000000000.0,12,38200.0,50,42.5,12.5
Myanmar,55622506.0,24,14930000000.0,81,39.0,171,0.0,0,61.0,28,1.0,149,27010000.0,77,329800000000.0,53,6300.0,163,22.0,98.0
Tanzania,55451343.0,25,5682000000.0,118,55.0,141,0.0,192,40.0,53,6.0,106,14570000.0,93,162500000000.0,75,3200.0,193,-6.0,35.0
South Africa,55380210.0,26,207100000000.0,21,85.0,73,4.0,24,1.0,150,10.0,81,572300000.0,11,767200000000.0,30,13600.0,118,-29.0,24.0
South Korea,51418097.0,27,507600000000.0,9,70.0,109,0.0,0,2.0,139,8.0,86,778400000.0,7,2035000000000.0,14,39500.0,46,37.0,127.3
Spain,49331076.0,28,239500000000.0,15,47.0,157,7.0,19,14.0,108,32.0,15,286700000.0,25,1778000000000.0,15,38400.0,49,40.0,-4.0
Kenya,48397527.0,29,7863000000.0,104,33.0,183,0.0,118,34.0,62,33.0,13,17980000.0,88,163700000000.0,74,3500.0,187,1.0,38.0
Colombia,48168996.0,30,68250000000.0,40,29.0,184,0.0,67,69.0,17,2.0,137,95590000.0,45,711600000000.0,31,14400.0,116,4.0,-72.0
Argentina,44694198.0,31,121000000000.0,30,69.0,112,4.0,23,24.0,79,3.0,120,203700000.0,32,922100000000.0,28,20900.0,88,-34.0,-64.0
Ukraine,43952299.0,32,133200000000.0,28,65.0,120,23.0,4,8.0,125,3.0,129,238900000.0,28,369600000000.0,50,8800.0,146,49.0,32.0
Sudan,43120843.0,33,12120000000.0,88,44.0,162,0.0,188,51.0,39,6.0,104,16030000.0,92,177400000000.0,71,4300.0,174,15.0,30.0
Algeria,41657488.0,34,55960000000.0,46,96.0,36,0.0,34,1.0,144,2.0,130,135900000.0,34,630000000000.0,36,15200.0,109,28.0,3.0
Uganda,40853749.0,35,3106000000.0,135,19.0,195,0.0,203,68.0,19,12.0,75,4703000.0,135,89190000000.0,89,2400.0,200,1.0,32.0
Iraq,40194216.0,36,38460000000.0,57,91.0,55,0.0,111,9.0,119,0.0,194,117900000.0,37,649300000000.0,34,16700.0,107,33.0,44.0
Poland,38420687.0,37,149400000000.0,24,79.0,87,0.0,166,2.0,141,19.0,44,359000000.0,18,1126000000000.0,23,29600.0,69,52.0,20.0
Canada,35881659.0,38,522200000000.0,7,23.0,191,9.0,16,56.0,30,12.0,73,640600000.0,9,1774000000000.0,17,48400.0,34,60.0,-95.0
Afghanistan,34940837.0,39,5526000000.0,119,45.0,159,0.0,32,52.0,34,4.0,111,9067000.0,111,69450000000.0,101,2000.0,209,33.0,65.0
Morocco,34314130.0,40,28250000000.0,64,68.0,114,0.0,148,16.0,101,15.0,60,55400000.0,56,298600000000.0,57,8600.0,147,32.0,-5.0
Saudi Arabia,33091113.0,41,296200000000.0,12,100.0,17,0.0,178,0.0,198,0.0,206,657100000.0,8,1775000000000.0,16,54500.0,22,25.0,45.0
Malaysia,31809660.0,42,136900000000.0,26,78.0,90,0.0,136,18.0,95,4.0,113,226800000.0,31,933300000000.0,26,29100.0,71,2.3,112.3
Venezuela,31689176.0,43,71960000000.0,39,51.0,150,0.0,208,49.0,43,0.0,213,129900000.0,36,381600000000.0,47,12500.0,126,8.0,-66.0
Peru,31331228.0,44,44610000000.0,53,61.0,128,0.0,164,35.0,60,4.0,116,55940000.0,55,430300000000.0,46,13500.0,119,-10.0,-76.0
Angola,30355880.0,45,9036000000.0,101,34.0,180,0.0,37,64.0,23,2.0,132,20950000.0,85,193600000000.0,65,6800.0,160,-12.3,18.3
Uzbekistan,30023709.0,46,49070000000.0,50,86.0,69,0.0,206,14.0,109,0.0,212,95580000.0,46,223000000000.0,63,6900.0,158,41.0,64.0
Nepal,29717587.0,47,4983000000.0,124,5.0,203,0.0,152,92.0,10,3.0,128,8396000.0,115,79190000000.0,95,2700.0,195,28.0,84.0
Yemen,28667230.0,48,3681000000.0,130,79.0,89,0.0,213,0.0,215,21.0,37,13680000.0,95,73630000000.0,97,2500.0,199,15.0,48.0
Ghana,28102471.0,49,9363000000.0,99,58.0,135,0.0,96,42.0,48,1.0,153,13670000.0,96,134000000000.0,80,4700.0,172,8.0,-2.0
Mozambique,27233789.0,50,11570000000.0,90,16.0,199,0.0,149,83.0,12,1.0,161,11120000.0,102,37090000000.0,122,1300.0,222,-18.15,35.0
CI,26260582.0,51,6245000000.0,114,60.0,130,0.0,0,40.0,51,0.0,184,11540000.0,101,97160000000.0,86,3900.0,179,8.0,-5.0
